a901,5,2,1,Э
a902,2,2,1,И
a903,3,3,4,ЛШ
a904,1,3.5,3,И
a905,3,2.5,1,СИ
a906,2,1,1,?
a909,5,1,1,Э
a910,2,4,3,ЛС
a911,5,4,4,Э
a912,2,2,5,Ш
a913,5,3,1,Л
a914,4,3,2,*
a915,2,2,1,ГП
a916,3,2,3,*
a917,2,3,3,Г
a918,3,2,1,П
a919,3,4.5,4,Ц
b903,4,4.5,1,?
b904,5,1,4,С
b906,2,2,4,*
b919,2,6,3,СПШ
v901,4,2,3,Ш
v902,4,2,1,Г
v903,4,45,1,-
v904,4,3.8,4,Э
v905,3,2,1,И
v906,2,2,4,ЛИ
v907,1,3,1,Ш
v908,4,3.5,3,Л
v909,1,4.5,1,Ш
v910,4,5,4,Ш
v911,2,2,3,ИГ
v912,4,4,3,П
v913,1,1,1,СШ
v914,1,2,1,ГЭ
v915,2,2,1,Л
v916,3,1.5,5,ЛЭ
v917,2,0.5,1,-
v918,3,3,3,Г
v919,2,1,4,ПШ
v920,2,1,1,-
v921,2,2,4,-
v922,4,1.5,3,П
v923,4,0,3,ГЭ
v924,2,4,1,Г
v925,4,2,4,ШЭ
